campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:23.441651+00:00,491905,470842,0,1,460,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:23.521741+00:00,491982,480512,77,2,460,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:24.449574+00:00,492905,471842,923,1,461,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:24.529671+00:00,492982,481512,77,2,461,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:25.441577+00:00,493906,472842,924,1,462,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:25.521673+00:00,493982,482511,76,2,462,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:26.449545+00:00,494906,473842,924,1,463,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:26.529615+00:00,494983,483511,77,2,463,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:27.441532+00:00,495906,474842,923,1,464,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:27.521681+00:00,495983,484510,77,2,464,1,1,7,-45,9.0,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:28.449486+00:00,496907,475842,924,1,465,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:28.513647+00:00,496983,485510,76,2,465,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:29.441489+00:00,497907,476842,924,1,466,0,1,7,-46,12.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:29.521582+00:00,497984,486510,77,2,466,1,1,7,-44,9.25,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:30.433469+00:00,498907,477842,923,1,467,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:30.513597+00:00,498984,487509,77,2,467,1,1,7,-45,9.25,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:31.441469+00:00,499908,478842,924,1,468,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:31.521544+00:00,499984,488509,76,2,468,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:32.433450+00:00,500908,479842,924,1,469,0,1,7,-46,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:32.513585+00:00,500985,489508,77,2,469,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:33.441425+00:00,501908,480842,923,1,470,0,1,7,-46,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:33.521482+00:00,501985,490508,77,2,470,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:34.433406+00:00,502908,481842,923,1,471,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:34.513650+00:00,502985,491507,77,2,471,1,1,7,-46,9.5,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:42.209276+00:00,892,1004,-502093,1,0,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:42.289363+00:00,968,235,76,2,0,1,1,7,-45,9.25,5147,14,3.0,7,lora,1,2,1
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:43.201325+00:00,734,2004,-234,1,1,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:50.465129+00:00,1598,1004,864,1,0,0,1,7,-46,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:51.457113+00:00,832,2004,-766,1,1,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:54.273058+00:00,1357,1004,525,1,0,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:55.265043+00:00,2358,2004,1001,1,1,0,1,7,-46,9.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:56.257029+00:00,3358,3004,1000,1,2,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:57.265026+00:00,4359,4004,1001,1,3,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:58.257047+00:00,5359,5004,1000,1,4,0,1,7,-46,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:11:59.264976+00:00,6360,6004,1001,1,5,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:00.256964+00:00,7361,7004,1001,1,6,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:01.264895+00:00,8361,8004,1000,1,7,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:02.256925+00:00,9362,9004,1001,1,8,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:03.248946+00:00,10363,10004,1001,1,9,0,1,7,-46,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:04.256918+00:00,11364,11004,1001,1,10,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:05.248984+00:00,12364,12004,1000,1,11,0,1,7,-46,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:06.256874+00:00,13364,13004,1000,1,12,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:07.248862+00:00,14365,14004,1001,1,13,0,1,7,-45,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:08.256774+00:00,15365,15004,1000,1,14,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:09.248849+00:00,16366,16004,1001,1,15,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:10.240823+00:00,17366,17004,1000,1,16,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:11.248805+00:00,18367,18004,1001,1,17,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:12.240805+00:00,19367,19004,1000,1,18,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:13.248701+00:00,20368,20004,1001,1,19,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:14.240724+00:00,21369,21004,1001,1,20,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:15.248692+00:00,22370,22004,1001,1,21,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:16.240701+00:00,23371,23004,1001,1,22,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:17.232684+00:00,24372,24004,1001,1,23,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:18.240721+00:00,25373,25004,1001,1,24,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:19.232638+00:00,26373,26004,1000,1,25,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:20.240705+00:00,27374,27004,1001,1,26,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:21.232602+00:00,28375,28004,1001,1,27,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:22.240552+00:00,29375,29004,1000,1,28,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:23.232603+00:00,30376,30004,1001,1,29,0,1,7,-45,10.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:24.240495+00:00,31377,31004,1001,1,30,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:25.232560+00:00,32378,32004,1001,1,31,0,1,7,-45,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:26.224570+00:00,33379,33004,1001,1,32,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:27.232520+00:00,34380,34004,1001,1,33,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:28.224494+00:00,35381,35004,1001,1,34,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
